iter	Passed	Remaining
403	8121	11981
404	8145	11966
405	8167	11950
406	8189	11931
407	8210	11913
408	8233	11896
409	8255	11879
410	8272	11855
411	8290	11831
412	8307	11807
413	8323	11782
414	8341	11757
415	8363	11740
416	8383	11720
417	8404	11701
418	8425	11682
419	8455	11676
420	8479	11661
421	8502	11645
422	8522	11625
423	8550	11615
424	8568	11592
425	8584	11567
426	8604	11546
427	8625	11527
428	8650	11514
429	8669	11492
430	8688	11470
431	8705	11446
432	8723	11423
433	8741	11400
434	8758	11376
435	8776	11353
436	8796	11333
437	8816	11311
438	8837	11293
439	8855	11270
440	8872	11246
441	8889	11222
442	8908	11201
443	8925	11176
444	8951	11164
445	8968	11140
446	8991	11123
447	9013	11106
448	9032	11084
449	9050	11061
450	9071	11042
451	9088	11018
452	9107	10997
453	9124	10973
454	9141	10949
455	9158	10926
456	9180	10908
457	9205	10893
458	9226	10874
459	9244	10852
460	9270	10838
461	9290	10818
462	9309	10797
463	9333	10781
464	9356	10764
465	9385	10755
466	9405	10735
467	9427	10716
468	9447	10695
469	9465	10673
470	9485	10653
471	9503	10630
472	9523	10611
473	9544	10591
474	9571	10579
475	9595	10563
476	9617	10545
477	9638	10525
478	9658	10504
479	9677	10483
480	9696	10462
481	9720	10446
482	9742	10428
483	9764	10410
484	9783	10388
485	9799	10364
486	9817	10341
487	9834	10318
488	9852	10295
489	9869	10272
490	9888	10250
491	9913	10235
492	9935	10217
493	9952	10194
494	9971	10172
495	9988	10149
496	10005	10126
497	10022	10103
498	10041	10081
499	10058	10058
500	10081	10041
501	10102	10022
502	10120	9999
503	10138	9977
504	10156	9955
505	10173	9931
506	10190	9908
507	10207	9885
508	10223	9862
509	10240	9838
510	10261	9819
511	10280	9798
512	10297	9775
513	10314	9752
514	10350	9747
515	10367	9724
516	10384	9701
517	10403	9680
518	10421	9658
519	10443	9640
520	10466	9623
521	10488	9604
522	10507	9583
523	10525	9561
524	10545	9540
525	10563	9518
526	10579	9495
527	10597	9473
528	10619	9455
529	10639	9435
530	10657	9412
531	10673	9389
532	10689	9366
533	10706	9343
534	10723	9320
535	10739	9296
536	10757	9274
537	10777	9254
538	10798	9235
539	10822	9219
540	10852	9207
541	10869	9185
542	10887	9163
543	10905	9141
544	10922	9119
545	10940	9096
546	10958	9075
547	10982	9058
548	11001	9037
549	11024	9019
550	11044	9000
551	11063	8978
552	11081	8957
553	11101	8937
554	11122	8917
555	11146	8900
556	11170	8884
557	11190	8863
558	11208	8842
559	11226	8820
560	11243	8798
561	11260	8776
562	11281	8756
563	11298	8734
564	11321	8716
565	11343	8697
566	11371	8684
567	11392	8664
568	11413	8645
569	11435	8626
570	11456	8607
571	11477	8588
572	11498	8568
573	11523	8551
574	11543	8532
575	11565	8513
576	11588	8495
577	11608	8475
578	11630	8456
579	11652	8437
580	11675	8419
581	11700	8403
582	11722	8384
583	11740	8362
584	11757	8340
585	11775	8319
586	11793	8297
587	11811	8276
588	11828	8253
589	11844	8231
590	11866	8212
591	11888	8193
592	11905	8171
593	11921	8148
594	11939	8126
595	11956	8104
596	11975	8083
597	11991	8061
598	12009	8039
599	12026	8017
600	12045	7996
601	12073	7981
602	12092	7961
603	12109	7939
604	12127	7917
605	12143	7895
606	12160	7873
607	12176	7850
608	12196	7830
609	12213	7808
610	12240	7793
611	12265	7776
612	12284	7755
613	12301	7733
614	12320	7712
615	12338	7691
616	12354	7669
617	12371	7647
618	12389	7625
619	12412	7607
620	12433	7588
621	12453	7568
622	12470	7546
623	12487	7524
624	12504	7502
625	12533	7487
626	12549	7465
627	12566	7443
628	12584	7422
629	12606	7403
630	12632	7387
631	12651	7366
632	12669	7345
633	12689	7325
634	12708	7304
635	12726	7283
636	12743	7262
637	12769	7245
638	12790	7225
639	12811	7206
640	12835	7188
641	12853	7167
642	12870	7145
643	12888	7124
644	12908	7104
645	12926	7083
646	12948	7064
647	12972	7046
648	12995	7028
649	13015	7008
650	13032	6986
651	13050	6965
652	13066	6943
653	13094	6927
654	13116	6908
655	13137	6889
656	13160	6870
657	13178	6849
658	13199	6830
659	13220	6810
660	13239	6789
661	13258	6769
662	13279	6749
663	13300	6730
664	13326	6713
665	13350	6695
666	13374	6677
667	13398	6659
668	13420	6639
669	13441	6620
670	13463	6601
671	13483	6581
672	13504	6561
673	13526	6542
674	13543	6521
675	13561	6500
676	13578	6478
677	13595	6456
678	13615	6436
679	13633	6415
680	13651	6394
681	13668	6373
682	13689	6353
683	13712	6335
684	13730	6314
685	13749	6293
686	13766	6272
687	13782	6250
688	13800	6229
689	13818	6208
690	13835	6186
691	13851	6165
692	13874	6146
693	13895	6127
694	13913	6105
695	13931	6084
696	13948	6063
697	13965	6042
698	13982	6021
699	13999	5999
700	14017	5978
701	14034	5957
702	14053	5937
703	14078	5919
704	14099	5899
705	14120	5880
706	14138	5859
707	14154	5837
708	14171	5816
709	14192	5797
710	14215	5778
711	14237	5759
712	14260	5740
713	14286	5722
714	14308	5703
715	14330	5683
716	14350	5664
717	14370	5643
718	14389	5623
719	14414	5605
720	14432	5584
721	14449	5563
722	14466	5542
723	14483	5521
724	14500	5500
725	14515	5478
726	14532	5457
727	14549	5435
728	14565	5414
729	14587	5395
730	14609	5376
731	14626	5355
732	14657	5339
733	14674	5318
734	14690	5296
735	14708	5275
736	14725	5254
737	14742	5233
738	14767	5215
739	14791	5197
740	14817	5179
741	14842	5160
742	14862	5140
743	14884	5121
744	14906	5102
745	14927	5082
746	14948	5062
747	14968	5042
748	14993	5024
749	15017	5005
750	15033	4984
751	15051	4963
752	15072	4944
753	15093	4924
754	15110	4903
755	15130	4883
756	15150	4863
757	15171	4843
758	15193	4824
759	15214	4804
760	15232	4783
761	15249	4762
762	15266	4742
763	15286	4722
764	15308	4702
765	15332	4683
766	15355	4664
767	15374	4644
768	15394	4624
769	15411	4603
770	15430	4583
771	15447	4562
772	15465	4541
773	15481	4520
774	15501	4500
775	15519	4479
776	15542	4460
777	15562	4440
778	15579	4419
779	15599	4399
780	15617	4379
781	15634	4358
782	15652	4337
783	15669	4317
784	15688	4296
785	15705	4275
786	15722	4255
787	15739	4234
788	15756	4213
789	15774	4193
790	15790	4172
791	15808	4151
792	15830	4132
793	15854	4113
794	15874	4093
795	15892	4072
796	15913	4053
797	15931	4032
798	15949	4012
799	15966	3991
800	15984	3971
801	16011	3952
802	16034	3933
803	16051	3913
804	16069	3892
805	16086	3871
806	16103	3851
807	16119	3830
808	16135	3809
809	16154	3789
810	16187	3772
811	16210	3753
812	16233	3734
813	16259	3715
814	16278	3695
815	16296	3674
816	16317	3654
817	16338	3635
818	16357	3615
819	16376	3594
820	16395	3574
821	16416	3554
822	16438	3535
823	16461	3515
824	16481	3496
825	16499	3475
826	16516	3455
827	16533	3434
828	16550	3413
829	16567	3393
830	16587	3373
831	16610	3353
832	16626	3333
833	16644	3312
834	16661	3292
835	16678	3271
836	16694	3251
837	16711	3230
838	16728	3210
839	16744	3189
840	16768	3170
841	16798	3152
842	16815	3131
843	16833	3111
844	16853	3091
845	16870	3070
846	16891	3051
847	16911	3031
848	16934	3011
849	16953	2991
850	16970	2971
851	16991	2951
852	17012	2931
853	17028	2911
854	17046	2890
855	17063	2870
856	17081	2850
857	17104	2830
858	17123	2810
859	17141	2790
860	17158	2770
861	17175	2749
862	17191	2729
863	17207	2708
864	17224	2688
865	17241	2667
866	17257	2647
867	17277	2627
868	17301	2608
869	17319	2587
870	17337	2567
871	17354	2547
872	17372	2527
873	17389	2506
874	17407	2486
875	17424	2466
876	17445	2446
877	17467	2427
878	17488	2407
879	17506	2387
880	17524	2367
881	17544	2347
882	17561	2326
883	17578	2306
884	17595	2286
885	17613	2266
886	17632	2246
887	17662	2227
888	17678	2207
889	17696	2187
890	17713	2166
891	17729	2146
892	17745	2126
893	17766	2106
894	17788	2086
895	17810	2067
896	17833	2047
897	17853	2027
898	17874	2008
899	17895	1988
900	17916	1968
901	17933	1948
902	17952	1928
903	17970	1908
904	17989	1888
905	18012	1868
906	18040	1849
907	18062	1830
908	18085	1810
909	18107	1790
910	18131	1771
911	18156	1751
912	18173	1731
913	18190	1711
914	18212	1691
915	18230	1671
916	18248	1651
917	18265	1631
918	18281	1611
919	18305	1591
920	18327	1572
921	18355	1552
922	18373	1532
923	18391	1512
924	18407	1492
925	18424	1472
926	18441	1452
927	18458	1432
928	18474	1411
929	18498	1392
930	18522	1372
931	18546	1353
932	18563	1333
933	18580	1312
934	18605	1293
935	18622	1273
936	18639	1253
937	18655	1233
938	18674	1213
939	18696	1193
940	18715	1173
941	18732	1153
942	18749	1133
943	18765	1113
944	18786	1093
945	18802	1073
946	18819	1053
947	18836	1033
948	18860	1013
949	18884	993
950	18907	974
951	18928	954
952	18947	934
953	18965	914
954	18981	894
955	18999	874
956	19019	854
957	19038	834
958	19060	814
959	19079	794
960	19096	775
961	19114	755
962	19132	735
963	19148	715
964	19166	695
965	19182	675
966	19199	655
967	19218	635
968	19235	615
969	19273	596
970	19295	576
971	19312	556
972	19330	536
973	19347	516
