iter	Logloss
0	0.6749712765
1	0.658915923
2	0.6415223479
3	0.6266659467
4	0.6115638253
5	0.5980923465
6	0.5857357729
7	0.5722252757
8	0.5613357806
9	0.5505519517
10	0.5399193347
11	0.5302337413
12	0.5213489679
13	0.512575589
14	0.50430867
15	0.4957209323
16	0.4890890787
17	0.4813527404
18	0.4749639717
19	0.4688726431
20	0.4622744901
21	0.4567974117
22	0.4507672891
23	0.4455281479
24	0.4402816683
25	0.43517042
26	0.4305517303
27	0.4255875912
28	0.4211213982
29	0.4168181622
30	0.4125380016
31	0.4090135771
32	0.4043328063
33	0.4003586391
34	0.3973440023
35	0.3939787189
36	0.390643665
37	0.3873262452
38	0.3842235147
39	0.3810743798
40	0.3776618161
41	0.3743352006
42	0.3719678061
43	0.3691923935
44	0.3663635279
45	0.3639753196
46	0.3607631588
47	0.3585238071
48	0.3555740895
49	0.3529353387
50	0.3507630814
51	0.3485800797
52	0.3467836534
53	0.3446824183
54	0.3423070567
55	0.339851207
56	0.3373340633
57	0.3349641468
58	0.333041587
59	0.331079569
60	0.3288962477
61	0.3265333555
62	0.3246245021
63	0.3229161679
64	0.3210627734
65	0.3193128325
66	0.3174053753
67	0.315354996
68	0.3140301888
69	0.312397065
70	0.3109583781
71	0.3092635681
72	0.3077982571
73	0.3063872715
74	0.3043970227
75	0.3031844672
76	0.3015739447
77	0.2999853958
78	0.2987856938
79	0.2972724649
80	0.2954919835
81	0.2940277121
82	0.2922523271
83	0.2912228745
84	0.2898360322
85	0.2886853566
86	0.2873668677
87	0.2861364096
88	0.2849803861
89	0.2837169398
90	0.2824041931
91	0.2813636105
92	0.2799615727
93	0.2789402169
94	0.2778263826
95	0.2766319731
96	0.2754969992
97	0.2744352044
98	0.2733363238
99	0.2721856538
100	0.2711635467
101	0.2703893457
102	0.2691021169
103	0.2680318974
104	0.2668690595
105	0.2655740115
106	0.264481327
107	0.2636295298
108	0.2628756573
109	0.262014437
110	0.2609779796
111	0.2600510051
112	0.25921425
113	0.258415593
114	0.2574137967
115	0.2564988261
116	0.2553599714
117	0.2545054181
118	0.2535770904
119	0.2529398826
120	0.2519900012
121	0.2512215899
122	0.2505179978
123	0.2497919872
124	0.249088659
125	0.2479501906
126	0.2473253091
127	0.2468001823
128	0.2458155326
129	0.2447739027
130	0.2438392872
131	0.2429408345
132	0.2421544468
133	0.2414673066
134	0.2407579493
135	0.2398612583
136	0.2392087242
137	0.2383156876
138	0.2376587168
139	0.2368307964
140	0.2363311534
141	0.2356288003
142	0.2349666792
143	0.2342951807
144	0.2334385984
145	0.2327016989
146	0.231968432
147	0.2310461074
148	0.2303907786
149	0.2298038199
150	0.2291367808
151	0.2283533705
152	0.2278199393
153	0.2272241643
154	0.2266725827
155	0.225919324
156	0.2254956155
157	0.2250631884
158	0.2243801957
159	0.2237701986
160	0.2231490315
161	0.2224725958
162	0.2219070597
163	0.2213047973
164	0.2207456191
165	0.2202978883
166	0.2196130943
167	0.2191720618
168	0.2186345066
169	0.2180025043
170	0.2174706334
171	0.2167342732
172	0.2161819944
173	0.2155881903
174	0.2150423632
175	0.2142288319
176	0.2138075735
177	0.2132404259
178	0.2126187073
179	0.2122024462
180	0.2117734643
181	0.2112018498
182	0.2106732515
183	0.2101002392
184	0.2095583838
185	0.2091283789
186	0.2085613083
187	0.2081716655
188	0.2075529527
189	0.2070119528
190	0.2065879241
191	0.2058668492
192	0.2055555064
193	0.2051465018
194	0.204753431
195	0.2043491997
196	0.2039697473
197	0.2035887757
198	0.2031545332
199	0.2027117222
200	0.2021828496
201	0.2016255405
202	0.2012144689
203	0.2009265628
204	0.2003669238
205	0.200134345
206	0.1995943306
207	0.1991393598
208	0.1987600747
209	0.1982403134
210	0.1979630222
